Advanced-Protection	Advanced Protection
Standard-Protection	Standard Protection
Truck-Freedom	Truck Freedom
Late-Fee	Late Fee
Everywhere-Unlimited-Travel	Everywhere Unlimited Travel
Everywhere-Unlimited-Residential	Everywhere Unlimited Residential
Redemption-Fee-Test	Nomad Redemption Fee
Nomad-Dragon-0	Nomad Dragon 0
Modem-Return	Modem Return
Nomad-Unlimited-Lite-Plan-OLD	Nomad Unlimited Lite Plan OLD
Nomad-Internet-Unlimited-5G-PLUS-Plan-149	Nomad Internet Unlimited 5G PLUS Plan 149
Nomad-Unlimited-Power-Plan-9995	Nomad Unlimited Power Plan 99.95
Sim-Card-Activation-Kit-Annual	Sim Card & Activation Kit Annual
Standard-Nomad-Modem-Kit	Standard Nomad Modem Kit - One time
Nomad-Unlimited-Travel-Plan-Annual-Flash-sales	Nomad Unlimited Travel Plan Annual Flash sales
Nomad-Unlimited-Residential-Plan-Annual-Flash-sales	Nomad Unlimited Residential Plan Annual Flash sales
Nomad-Unlimited-Lite-Plan-Annual	Nomad Unlimited Lite Plan Annual Flash sales
Updated-Nomad-Prime-1995	Nomad Prime 19.95
Updated-Nomad-Travel-1995	Nomad Travel $19.95
Nomad-One-Time-Modem-Fee	Nomad One Time Modem Fee
Nomad-Wholesaler-Modem-Rental	Nomad Wholesaler Modem Rental
Nomad-Redemption-Fee---One-Time	Nomad Redemption Fee - One Time
Nomad-Unlimited-Residential-PLANS	Nomad Unlimited Residential PLANS
Nomad-Residential-5G-Yearly-850	Nomad Residential 5G Yearly 850
Nomad-Internet-Unlimited-5G-PLUS-Plan	Nomad Internet Unlimited 5G PLUS Plan 99
Nomad-Residential-4G-Yearly	Nomad Residential 4G Yearly
Nomad-Unlimited-Travel-119	Nomad Unlimited Travel 119
Nomad-Internet-Travel-Yearly-828	Nomad Internet Travel Yearly $828
Nomad-Unlimited-Base-Residential	Nomad Unlimited Base Residential
Verizon-Red-Dragon-TBYB	Verizon Red Dragon TBYB
Influencer-Kit-Program	Influencer Kit Program
Nomad-Travel-Yearly-900	Nomad Travel Yearly 900
Nomad-Residential-5G-Yearly-708	Nomad Residential 5G Yearly 708
Nomad-Business-Internet-200-Annual	Nomad Business Internet 200 Annual
Nomad-Annual-Rural-5G	Nomad Annual Rural 5G
Unlimited-Fixed-Wireless-Access-Business-Internet-200Mbps	Unlimited Fixed Wireless Access Business Internet: 200Mbps
Unlimited-Fixed-Wireless-Access-Business-Internet-100Mbps-Plan	Unlimited Fixed Wireless Access Business Internet: 100Mbps Plan
Nomad-Residential-5G	Nomad Residential 5G
Nomad-Residential-4G-Plan	Nomad Residential 4G Plan
Nomad-Unlimited-Ultra-Raptor-Plan	Nomad Unlimited Ultra Raptor Plan
Nomad-Cube-Plan	Nomad Cube Plan
Nomad-Prime-Founders-Plan	Nomad Prime Founders Plan
Nomad-Internet-Unlimited-5G-PRIME-Plan	Nomad Internet Unlimited 5G PRIME Plan
